"","sampleID","Plot","Year","Genotype","Replicate","Derivation","Barcode","Date","RNAlater","Time","Temp..in.C","test1.exp","allP.exp","ratio.exp","exp.adjust","stress"
"50",653,110,2016,"Mo276","A","2015_110self","110_A_653","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.63,24.71,1.48586891160553,10.615975592872,14.094024407128
"51",654,110,2016,"Mo276","B","2015_110self","110_B_654","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.25,27,1.77049180327869,14.5937783480257,12.4062216519743
"52",655,110,2016,"Mo276","C","2015_110self","110_C_655","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.2,27.3,1.68518518518519,13.350541875006,13.9494581249941
"53",656,110,2016,"Mo276","D","2015_110self","110_D_656","6/16/16","Yes ","1:00-2:30 PM","32-34 C",15,25.46,1.69733333333333,13.5226398171957,11.9373601828043
"54",665,111,2016,"Mo281","A","2015_111self","111_A_665","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.02,29.81,2.1262482168331,18.7388827271281,11.0711172728719
"55",666,111,2016,"Mo281","B","2015_111self","111_B_666","6/16/16","Yes","1:00-2:30 PM","32-34 C",19.4,33.99,1.7520618556701,14.3177998823777,19.6722001176223
"56",667,111,2016,"Mo281","C","2015_111self","111_C_667","6/16/16","Yes","1:00-2:30 PM","32-34 C",18.49,28.36,1.53380205516495,11.2546337127971,17.1053662872029
"57",668,111,2016,"Mo281","D","2015_111self","111_D_668","6/16/16","Yes ","1:00-2:30 PM","32-34 C",19.9,29.82,1.49849246231156,10.7802596473309,19.0397403526691
"58",677,114,2016,"Mo284","A","2015_114self","114_A_677","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.93,27.61,1.63083284111045,12.5928444080476,15.0171555919524
"59",678,114,2016,"Mo284","B","2015_114self","114_B_678","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.73,26.59,1.58936043036461,12.0198542948437,14.5701457051563
"60",679,114,2016,"Mo284","C","2015_114self","114_C_679","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.35,26.07,1.59449541284404,12.0907949778149,13.9792050221851
"61",680,114,2016,"Mo284","D","2015_114self","114_D_680","6/16/16","Yes ","1:00-2:30 PM","32-34 C",16.25,28.2,1.73538461538462,14.0717172983477,14.1282827016523
"62",689,115,2016,"Mo287","A","2015_115self","115_A_689","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.01,27.46,1.71517801374141,13.7781036319099,13.6818963680901
